uniqueSampleKey	uniquePatientKey	molecularProfileId	sampleId	patientId	entrezGeneId	studyId	alteration
QU5QVDAwMDFQOnRoeXJvaWRfZ2F0Y2lfMjAyNA	QU5QVDAwMDE6dGh5cm9pZF9nYXRjaV8yMDI0	thyroid_gatci_2024_gistic	ANPT0001P	ANPT0001	238	thyroid_gatci_2024	0
QU5QVDAwMDFQOnRoeXJvaWRfZ2F0Y2lfMjAyNA	QU5QVDAwMDE6dGh5cm9pZF9nYXRjaV8yMDI0	thyroid_gatci_2024_gistic	ANPT0001P	ANPT0001	2304	thyroid_gatci_2024	0
QU5QVDAwMDFQOnRoeXJvaWRfZ2F0Y2lfMjAyNA	QU5QVDAwMDE6dGh5cm9pZF9nYXRjaV8yMDI0	thyroid_gatci_2024_gistic	ANPT0001P	ANPT0001	84868	thyroid_gatci_2024	0
QU5QVDAwMDFQOnRoeXJvaWRfZ2F0Y2lfMjAyNA	QU5QVDAwMDE6dGh5cm9pZF9nYXRjaV8yMDI0	thyroid_gatci_2024_gistic	ANPT0001P	ANPT0001	3122	thyroid_gatci_2024	0
QU5QVDAwMDFQOnRoeXJvaWRfZ2F0Y2lfMjAyNA	QU5QVDAwMDE6dGh5cm9pZF9nYXRjaV8yMDI0	thyroid_gatci_2024_gistic	ANPT0001P	ANPT0001	3965	thyroid_gatci_2024	0
QU5QVDAwMDFQOnRoeXJvaWRfZ2F0Y2lfMjAyNA	QU5QVDAwMDE6dGh5cm9pZF9nYXRjaV8yMDI0	thyroid_gatci_2024_gistic	ANPT0001P	ANPT0001	4233	thyroid_gatci_2024	2
QU5QVDAwMDFQOnRoeXJvaWRfZ2F0Y2lfMjAyNA	QU5QVDAwMDE6dGh5cm9pZF9nYXRjaV8yMDI0	thyroid_gatci_2024_gistic	ANPT0001P	ANPT0001	7080	thyroid_gatci_2024	0
QU5QVDAwMDFQOnRoeXJvaWRfZ2F0Y2lfMjAyNA	QU5QVDAwMDE6dGh5cm9pZF9nYXRjaV8yMDI0	thyroid_gatci_2024_gistic	ANPT0001P	ANPT0001	7849	thyroid_gatci_2024	0
QU5QVDAwMDFQOnRoeXJvaWRfZ2F0Y2lfMjAyNA	QU5QVDAwMDE6dGh5cm9pZF9nYXRjaV8yMDI0	thyroid_gatci_2024_gistic	ANPT0001P	ANPT0001	673	thyroid_gatci_2024	0
QU5QVDAwMDFQOnRoeXJvaWRfZ2F0Y2lfMjAyNA	QU5QVDAwMDE6dGh5cm9pZF9nYXRjaV8yMDI0	thyroid_gatci_2024_gistic	ANPT0001P	ANPT0001	5979	thyroid_gatci_2024	0
QU5QVDAwMDFQOnRoeXJvaWRfZ2F0Y2lfMjAyNA	QU5QVDAwMDE6dGh5cm9pZF9nYXRjaV8yMDI0	thyroid_gatci_2024_gistic	ANPT0001P	ANPT0001	6423	thyroid_gatci_2024	0
QU5QVDAwMDFQOnRoeXJvaWRfZ2F0Y2lfMjAyNA	QU5QVDAwMDE6dGh5cm9pZF9nYXRjaV8yMDI0	thyroid_gatci_2024_gistic	ANPT0001P	ANPT0001	6528	thyroid_gatci_2024	0
QU5QVDAwMDFQOnRoeXJvaWRfZ2F0Y2lfMjAyNA	QU5QVDAwMDE6dGh5cm9pZF9nYXRjaV8yMDI0	thyroid_gatci_2024_gistic	ANPT0001P	ANPT0001	4070	thyroid_gatci_2024	0
QU5QVDAwMDFQOnRoeXJvaWRfZ2F0Y2lfMjAyNA	QU5QVDAwMDE6dGh5cm9pZF9nYXRjaV8yMDI0	thyroid_gatci_2024_gistic	ANPT0001P	ANPT0001	7015	thyroid_gatci_2024	2
